date,link,Description
2023/02/15,https://www.lesswrong.com/posts/aPeJE8bSo6rAFoLqg/solidgoldmagikarp-plus-prompt-generation?commentId=zKayW2ZYYamwDLfkN,Super interesting GPT weirdness.
2023/02/15,https://towardsdatascience.com/demystifying-efficient-self-attention-b3de61b9b0fb,"GPT, language models and attention."
2023/02/22,https://brandnewbox.com/inthestacks/,"Lovely story about a librarian, and a synthetizer."
2023/02/23,https://www.notion.so/blog/data-model-behind-notion,How notion stores and operates on “blocks”.
2023/02/23,https://phaazon.net/blog/development-environments,"Composability of unix applications, and how much it sux."
2023/03/02,https://dallasinnovates.com/exclusive-qa-john-carmacks-different-path-to-artificial-general-intelligence/,Interview with John Carmack about his AI research.
2023/03/06,https://ruudvanasseldonk.com/2023/01/11/the-yaml-document-from-hell,The yaml document from hell
2023/03/20,https://cyberscoop.com/boston-l0pht-hackers-tech-scene/,
2023/04/08,https://www.lesswrong.com/posts/6Fpvch8RR29qLEWNH/chinchilla-s-wild-implications,"Highlights the importance of data scaling in language model performance, arguing that data is a more significant constraint than model size."
2023/04/24,https://www.lesswrong.com/posts/bxt7uCiHam4QXrQAA/cyborgism,
2023/04/24,https://www.lesswrong.com/posts/566kBoPi76t8KAkoD/on-autogpt,
2023/05/01,https://web.archive.org/web/20140527121332/http://www.infinityplus.co.uk/stories/under.htm,
2023/05/01,https://apenwarr.ca/log/20230415,
2023/05/24,https://www.cs.cornell.edu/~asampson/blog/flattening.html,Quite interesting and seemingly simple parsing optimization.
2023/06/28,https://blog.gopenai.com/how-to-speed-up-llms-and-use-100k-context-window-all-tricks-in-one-place-ffd40577b4c,
2023/07/31,https://donhopkins.medium.com/the-shape-of-psiber-space-october-1989-19e2dfa4d91e,Weid UI built on top of postscript. Looks a bit like Self / Morphic.
